제목,본문,기사 URL,Top 5 단어
조유리 “‘오겜2’? 캐스팅 된 순간 기억 안나”(‘정희’),"

조유리. 사진| 스타투데이 DB

가수 조유리가 ‘오징어게임2’에 캐스팅된 소감을 밝혔다.17일 방송된 MBC FM4U ‘정오의 희망곡 김신영입니다’에 조유리가 게스트로 출연했다.조유리는 넷플릭스 기대작으로 꼽히는 ‘오징어게임2’에 캐스팅돼 이목을 집중시킨 바 있다. 이에 대한 질문이 나오자 “오디션을 오래 봤던 작품”이라면서 “출연 확정 연락을 받았을 때 너무 기뻤다.그 순간만 삭제된 것처럼 갑자기 텐션이 업 됐다. (당시에) 어땠는지 기억이 잘 안났다. 꿈처럼 느껴졌다. 그 정도로 기뻤다”고 말했다.김신영은 박찬욱 감독의 영화 ‘헤어질 결심’에 출연해 열연을 보여준 바 있다. 당시를 회상하며 “이게 꿈인가란 생각이 들었다. 몰래카메라인 줄 알았다. 촬영하고 VIP 시사회를 경험해야 실감 난다”고 자신의 경험담도 덧붙였다.[김소연 스타투데이 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",https://www.mk.co.kr/article/10809724,"['조유리', '출연', '스타', '투데이', '오징어']"
"[포토] 조유리, '귀여워~'",가수 조유리가 18일 오전 서울 여의도 KBS 신관 공개홀에서 열린 '뮤직뱅크' 리허설에 참석해 포즈를 취하고 있다.변성현 한경닷컴 기자 byun84@hankyung.com,https://www.hankyung.com/entertainment/article/202308180048H,"['가수', '조유리', '오전', '서울', '여의도']"
"[포토]조유리, 새침하게","



[헤럴드POP=민선유 기자]가수 조유리가 18일 오전 서울 영등포구 여의도 KBS에서 열리는 KBS 2TV '생방송 뮤직뱅크' 촬영차 방송국에 들어서고 있다.popnews@heraldcorp.com",http://biz.heraldcorp.com/view.php?ud=202308180902128138719_1,"['헤럴드', '민선', '기자', '가수', '조유리']"
조유리 '블링블링'[엑's HD포토],(엑스포츠뉴스 김한준 기자) 18일 오전 서울 여의도 KBS 신관 공개홀에서 '뮤직뱅크' 출근길이 진행됐다.이날 뮤직뱅크 출근길에 참석한 조유리가 포즈를 취하고 있다.김한준 기자 kowel@xportsnews.com,https://www.xportsnews.com/article/1760514,"['김한준', '기자', '뮤직뱅크', '출근길', '엑스포츠']"
"욕설 열연 펼친 조유리, '오징어게임2'로 비상할까 [★FOCUS]","/사진=이동훈 기자

걸 그룹 아이즈원 출신 조유리가 넷플릭스 오리지널 시리즈 '오징어게임' 시즌2(이하 '오징어게임2') 출연을 통해 연기자로 비상할지 관심이 쏠린다.조유리는 지난 17일 MBC FM4U '정오의 희망곡 김신영입니다'에 출연해 '오징어게임2'에 출연하게 된 심경을 밝혔다. 이날 그는 ""오디션을 오래 봤던 작품이라 출연 확정 연락을 받았을 때 너무 기뻤다""며 ""갑자기 텐션이 높아지면서 그 순간만 삭제된 것처럼 기억이 잘 나질 않는다""고 말했다. 이어 ""꿈처럼 느껴졌다. 그 정도로 기뻤다""고 전했다.앞서 조유리는 지난 5일 유튜브 채널 '꼰대희'에 출연해 '오징어게임2' 오디션 합격 소식을 전하기도 했다. 당시 그는 ""작품 준비하면서 미팅도 하고, 오디션도 많이 보러 다녔다""며 ""오디션을 일주일 두 개씩 봤다""고 밝혔다. 그러면서 ""(오디션에서) 다 떨어지고 한 개 됐다. '오징어게임2'가 됐다""며 ""허언증 아니다. 진짜""라고 덧붙였다.'오징어 게임'은 456억 원의 상금이 걸린 의문의 서바이벌에 참가한 사람들이 최후의 승자가 되기 위해 목숨을 걸고 극한의 게임에 도전하는 이야기를 담은 넷플릭스 시리즈다. 지난 2021년 시즌1이 첫 공개됐으며, 올해 하반기 시즌2 촬영을 앞두고 있다.해당 작품은 시즌1 공개 당시 국내외에서 큰 인기를 끌며 글로벌 화제작으로 떠올랐다. 이에 시즌2 공개와 출연 라인업에도 관심이 커졌던 상황.넷플릭스에 따르면 조유리와 함께 이정재, 이병헌, 위하준, 공유, 임시완, 강하늘, 박성훈, 양동근, 이다윗, 이진욱, 최승현, 노재원, 원지안 등이 시즌2에 출연한다.그중 조유리는 이제 막 연기 활동을 시작한 신예 배우다. 신예지만 전작에서 큰 존재감을 발휘하기도 했다.특히 지난해 12월 공개된 티빙 오리지널 시리즈 '술꾼도시여자들2' 7회에서 반항기 넘치는 고등학생 시은 역으로 특별 출연, 거친 욕설 연기를 소화하기도 했다.극 중 시은은 수업 중 불량한 태도를 지적하는 특별 지도교사 강지구(정은지 분)에게 ""X발, X나 꼰대네""라며 욕설을 날렸다. 이를 들은 강지구는 시은의 종이접기를 보며 ""잘못 접었네. 망한 거지 뭐. 그니까 처음 접을 때 잘 보고 접었어야지. 종이는 접는 순간 자국이 나. 한 번 잘못 접은 종이는 그냥 망한 거라고""라고 지적했다.그러자 시은은 ""X발, 전과 있는 우리 보고 하는 소리네. '한 번 잘못 간 너희들 인생은 답이 없다' 뭐 그런 거잖아요. 미친X이 X나 재수 없네. 아, 기분 X같네. X발, 진짜""라며 강지구와 신경전을 벌이기도 했다.짧은 분량이지만 조유리는 반항기 어린 눈빛과 욕설 대사를 소화해내며 신스틸러로 활약했다.전작에서 강렬한 열연으로 주목받은 조유리. 그런 그가 차기작 '오징어게임2'에서 보여줄 활약에도 관심이 쏠리고 있다.",https://www.starnewskorea.com/stview.php?no=2023081715322412657,"['게임', '출연', '조유리', '오징어', '시즌']"
,,https://www.newsen.com/news_view.php?uid=202308181043025510,[]
"[TD영상] 권은비-조유리, '대장 토끼와 천재 강아지' 출근했어요~","[티브이데일리 채아영 기자] 가수 권은비, 조유리가 18일 오전 서울 여의도 KBS에서 진행되는 '뮤직뱅크' 리허설에 참석하고 있다.



[티브이데일리 채아영 기자 news@tvdaily.co.kr]",http://www.tvdaily.co.kr/read.php3?aid=16923198401683406003,"['티브이데일리', '채아영', '기자', '가수', '은비']"
"권은비-조유리, 출근길에 등장한 여신들(뮤직뱅크 출근길) [TOP영상]","(톱스타뉴스 임경진 기자) 8월 18일 오전 서울 영등포구 여의도동 KBS 신관에서 진행된 ‘뮤직뱅크 리허설’에 참석해 출근길 포토타임을 가졌다. 엔싸인(n.SSign) ‘웜홀(Wormhole: New Track)’&트와이스(TWICE) 지효 ‘Closer’, ‘Killin’ Me Good’의 데뷔 무대와 스테이씨(STAYC) ‘Not Like You’, ‘Bubble’,&더보이즈(THE BOYZ) ‘LIP GLOSS’&유노윤호 (U-KNOW) ‘Vuja De’의 컴백 무대를 선보인다. 권은비(Kwon Eun-Bi)&조유리(Jo Yuri), 출근길에 등장한 여신들(뮤직뱅크 출근길) 이날 뮤직뱅크에는 에이디야(ADYA)-아일리원(ILY:1)-있지(ITZY)-엔싸인(n.SSign)-스테이씨(STAYC)-러블루션(tripleS LOVElution)-권은비(Kwon Eun-Bi)-다이나믹 듀오&디제이 프리미어-다크비(DKB)-더보이즈(THE BOYZ)-더윈드(The Wind)-세븐어스(SEVENUS)-에이블루(ABLUE)-유노윤호(U-KNOW)-조유리(Jo Yuri)-트와이스(TWICE) 지효가 출연해 무대를 선보일 예정이다. 임경진 기자 reporter@topstarnews.co.kr 임경진 기자 reporter@topstarnews.co.kr

기자의 보도 내용에 비판은 수용하며, 반론권을 보장합니다. 그러나 폭력적인 욕설이나 협박에 대해서는 합의 없는 형사 처벌을 추진하므로 유의하시기 바랍니다. 또한 톱스타뉴스의 모든 콘텐츠(영상, 기사, 사진)는 저작권법의 보호를 받습니다. 무단 전재, 복사, 배포, 유튜브 영상 제작을 금합니다. 발견 즉시 민형사상 제소합니다.",http://www.topstarnews.net/news/articleView.html?idxno=15383299,"['기자', '임경진', '뮤직뱅크', '출근길', '무대']"
"[포토] 조유리, '금발이 잘 어울려~'",가수 조유리가 18일 오전 서울 여의도 KBS 신관 공개홀에서 열린 '뮤직뱅크' 리허설에 참석해 포즈를 취하고 있다.변성현 한경닷컴 기자 byun84@hankyung.com,https://www.hankyung.com/entertainment/article/202308180052H,"['가수', '조유리', '오전', '서울', '여의도']"
"[포토] 조유리, '깜찍하게 하트~'",가수 조유리가 18일 오전 서울 여의도 KBS 신관 공개홀에서 열린 '뮤직뱅크' 리허설에 참석해 포즈를 취하고 있다.변성현 한경닷컴 기자 byun84@hankyung.com,https://www.hankyung.com/entertainment/article/202308180045H,"['가수', '조유리', '오전', '서울', '여의도']"
"[포토]조유리, '볼수록 빠져드네~'","



[헤럴드POP=민선유 기자]가수 조유리가 18일 오전 서울 영등포구 여의도 KBS에서 열리는 KBS 2TV '생방송 뮤직뱅크' 촬영차 방송국에 들어서고 있다.popnews@heraldcorp.com",http://biz.heraldcorp.com/view.php?ud=202308180900418125963_1,"['헤럴드', '민선', '기자', '가수', '조유리']"
"[TD영상] 권은비-조유리, '대장 토끼와 천재 강아지' 출근했어요~","[티브이데일리 채아영 기자] 가수 권은비, 조유리가 18일 오전 서울 여의도 KBS에서 진행되는 '뮤직뱅크' 리허설에 참석하고 있다.



[티브이데일리 채아영 기자 news@tvdaily.co.kr]",http://www.tvdaily.co.kr/read.php3?aid=16923198401683406003,"['티브이데일리', '채아영', '기자', '가수', '은비']"
조유리 ‘더쇼’ 1위 불렀다,"‘올라운더’ 조유리가 컴백 후 첫 음악방송 1위에 올랐다.

조유리는 지난 15일 방송된 SBS M·SBS FiL ‘더쇼’에서 9일 발표한 미니 2집 ‘LOVE ALL’의 타이틀곡 ‘TAXI’로 정상에 올랐다.

컴백 이후 첫 1위 트로피를 거머쥔 조유리는 “이렇게 값진 1위를 주셔서 감사하다. 글래시(GLASSY, 공식 팬덤명) 노력에 항상 부응하는 아티스트가 될 테니 항상 지켜봐 주셨으면 좋겠다”라는 기쁨의 소감을 밝혔다. 이어진 앙코르 무대에서는 타이틀곡의 제목처럼 택시 기사로 변신한 조유리의 모습이 팬들의 뜨거운 호응을 얻었다.

조유리가 지난 9일 선보인 신보 ‘LOVE ALL’은 사랑에 관한 모든 순간과 다채로운 감정을 다룬 앨범으로, 타이틀곡 ‘TAXI’는 사랑하는 너를 향해 달려가겠다는 마음을 담은 ‘직진 고백송’이다.

이를 향한 뜨거운 반응도 이어지고 있다. 타이틀곡 ‘TAXI’ 뮤직비디오는 공개된 지 5일여만에 천만 조회수를 돌파해 계속해서 상승세를 그리고 있고, 곡의 가사처럼 달려가겠다는 마음을 담은 포인트 안무인 ‘직진 댄스’ 역시 SNS에서 인기몰이 중이다.

한편, 조유리는 앞으로도 음악방송과 다양한 콘텐츠를 통해 팬들과의 소통을 이어갈 예정이다.",http://sports.khan.co.kr/news/sk_index.html?art_id=202308160745003&sec_id=540201&pt=nv,"['조유리', '타이틀곡', '방송', '컴백', '음악']"
,,https://www.newsen.com/news_view.php?uid=202308171329591110,[]
"""실감 안 나"" 조유리→""침묵"" 최승현, '오겜2' 뉴페이스 각오 [Oh!쎈 이슈]","[OSEN=장우영 기자] ‘오징어게임2’ 캐스팅 소식이 전해진 뒤 라인업에 합류한 배우들에 대한 기대감이 높아지고 있다. 이들 역시 높은 기대에 부응하겠다는 각오를 다지고 있는 상황. ‘오징어게임2’ 뉴 페이스들은 어떤 각오를 다졌을까.

넷플릭스 오리지널 ‘오징어게임2’ 측은 지난 6월, 두 번에 걸쳐 캐스팅을 전격 발표했다.

첫 발표 때는 이정재, 이병헌, 위하준, 공유, 임시완, 강하늘, 박성훈, 양동근의 캐스팅이 알려졌고, 이후 두 번째 발표 때는 박규영, 조유리, 강애심을 비롯해 이다윗, 이진욱, 최승현, 노재원, 원지안이 이름을 올렸다.

‘오징어게임’에서 만났던 배우들도 눈에 띄었지만 이른바 ‘뉴 페이스’에도 관심이 집중됐다. ‘넷플릭스의 딸’ 박규영부터, 가수로 활동 중인 조유리, 빅뱅 출신 최승현 등이 눈길을 사로잡았다.

아이즈원 출신 가수 조유리는 단연 눈에 띄는 ‘뉴페이스’다. ‘미미쿠스’, ‘술꾼도시여자들’ 등에 출연해 연기력을 보여준 조유리는 한 화보 촬영 후 인터뷰에서 “좋은 노래와 대본을 받았을 때 망치고 싶지 않다는 생각이 크다. 일이 힘들어도 좋아하는 게 곧 직업이라 행복하다. 스스로에 대해 더 알아가고 취향을 더 깊이 연구하며 천천히 달려가고 있다”고 밝혔다. ‘오징어게임2’ 캐스팅 소식이 알려진 뒤 공개된 인터뷰였던 만큼 관련해 화제를 모았다.

이어 조유리는 ‘정오의 희망곡’에서 ‘오징어게임2’에 합류하게 된 소감을 밝혔다. 그는 “오디션을 오래 봤던 작품인데 출연 확정 연락을 받았을 때 너무 기뻐서 그 순간이 삭제됐다. 갑자기 너무 텐션이 높아지니까 어땠는지 기억이 안 나고, 약간 꿈 같다는 생각이 들었다”며 “아직 실감이 안 난다”고 밝혔다.

‘넷플릭스의 딸’로 불리는 박규영의 합류 또한 기대를 모은다. 박규영은 ‘오징어게임2’ 합류에 대해 ‘뉴스룸’에서 “구체적으로 말씀드리긴 어렵지만 너무 재미있게 잘 촬영하고 있다. 스태프 분들도 제작진 분들도 엄청난 책임감을 가지고 열정적으로 참여하고 있는 것 같다. 그 분들의 열정과 책임감에 누가 되지 않도록 좋은 모습을 보여드리도록 노력하겠다”고 말했다.

남자 배우들 중에서는 양동근의 합류가 눈에 띈다. 양동근은 ‘최정훈의 밤의 공원’에서 ‘오징어게임2’ 합류에 대해 “저도 그 소식을 들었는데 같이 출연하는 분들이 강하늘 씨, 임시완 씨 그분들과 같이 캐스팅 된 걸 보니까 약간 오징어가 된 기분이더라”고 말해 웃음을 자아낸 바 있다.

반면 가장 화제를 모았던 최승현은 이렇다 할 소감을 밝히진 않았다. 그의 캐스팅으로 인해 누군가의 입김이 작용한 게 아니냐는 추측이 제기됐고, 애꿎은 이정재와 이병헌이 입방아에 오르며 이에 대해 해명하기에 이르렀다.

한편, ‘오징어 게임2’는 지난 23일 대본 리딩을 마쳤으며, 오는 하반기 촬영을 시작할 예정이다. /elnino8919@osen.co.kr",http://www.osen.co.kr/article/G1112165089,"['오징어', '게임', '캐스팅', '합류', '조유리']"
